name,price,category,brand
joelho soldavel cpvc g aquatherm tigre,21.9,conexoes,TIGRE
bucha de reducao aquatherm branco tigre,191.9,conexoes,TIGRE
joelho esgoto pvc graus serie r tigre,4.89,conexoes,TIGRE
ralo sifonado pvc xxmm grelha redonda cromada luconi,8.9,acess_hidraulico,LUCONI
ralo sifonado pvc xxmm grelha quadrada branca luconi,7.9,acess_hidraulico,LUCONI
bomba centrifuga monofasica injetora cv bivolt mb schneider,1299.9,bombas_filtros,SCHNEIDER
grelha pvc quadrada cromada tigre,35.9,acess_hidraulico,TIGRE
grelha pvc redonda cromada tigre,28.69,acess_hidraulico,TIGRE
ralo sifonado pvc xxmm grade quadrada branco herc,18.9,acess_hidraulico,HERC
joelho para esgoto pvc serie reforcada tigre,8.79,conexoes,TIGRE
joelho circular pvc transicao aquapluv style e beiral bege tigre,38.9,conexoes,TIGRE
adaptador soldavel pvc caixa d agua registro tigre,115.9,conexoes,TIGRE
juncao esgoto pvc simples serie reforcada tigre,9.9,conexoes,TIGRE
luva de esgoto pvc simples serie reforcada branca tigre,10.9,conexoes,TIGRE
luva soldavel pvc com bucha de latao tigre,19.9,conexoes,TIGRE
tubo roscavel pvc esgoto tigre,325.9,tubos,TIGRE
curva esgoto pvc g longa tigre,141.9,conexoes,TIGRE
grelha pvc redonda branca tigre,11.9,acess_hidraulico,TIGRE
bomba centrifuga injetora monofasica cv bivolt mbii schneider,1199.9,bombas_filtros,SCHNEIDER
ralo sifonado pvc xxmm grelha redonda branco luconi,3.9,acess_hidraulico,LUCONI
joelho retencao pvc graus aquapluv style branco tigre,26.79,conexoes,TIGRE
grelha em pvc hemisferica flexivel para calha dn a tigre,34.99,acess_hidraulico,TIGRE
grelha redonda giratoria pvc branca astra,19.9,acess_hidraulico,ASTRA
joelho circular pvc g aquapluv style e beiral bege tigre,28.89,conexoes,TIGRE
juncao de esgoto simples pvc serie r tigre,197.99,conexoes,TIGRE
ralo sifonado redondo com grelha pvc xxmm branco *br astra,8.9,acess_hidraulico,ASTRA
luva de esgoto simples pvc serie r tigre,5.89,conexoes,TIGRE
adaptador soldavel curto pvc polegadas tigre,7.89,conexoes,TIGRE
grelha redonda giratoria pvc cromado astra,32.9,acess_hidraulico,ASTRA
joelho de reducao com visita pvc serie r tigre,52.9,conexoes,TIGRE
te de reducao pvc dexmm pba je bbb tigre,147.99,conexoes,TIGRE
luva reducao pvc soldavel tigre,15.69,conexoes,TIGRE
te de reducao pvc dexmm pba junta elastica bbb tigre,86.59,conexoes,TIGRE
curva roscavel pvc g tigre,7.9,conexoes,TIGRE
joelho reducao pvc g roscavel bucha latao tigre,26.9,conexoes,TIGRE
tubo esgoto pvc vinilfort junta elastica integrada tigre,249.9,tubos,TIGRE
antiespuma pvc caixa sinfonada tigre,31.9,acess_hidraulico,TIGRE
ralo antiespuma em pvc para caixa sifonada tigre,24.69,acess_hidraulico,TIGRE
calha pvc aquapluv style beiral bege tigre,179.9,acess_hidraulico,TIGRE
curva roscavel pvc graus tigre,125.9,conexoes,TIGRE
curva soldavel pvc g tigre,85.9,conexoes,TIGRE
te reducao pvc soldavel tigre,54.9,conexoes,TIGRE
juncao reducao esgoto pvc invertida tigre,13.69,conexoes,TIGRE
bucha de reducao longa pvc serie r tigre,7.85,conexoes,TIGRE
juncao dupla de esgoto pvc tigre,41.99,conexoes,TIGRE
luva soldavel com rosca pvc tigre,23.9,conexoes,TIGRE
joelho roscavel com bucha de latao pvc polegada graus tigre,20.29,conexoes,TIGRE
te de inspecao de esgoto pvc tigre,35.9,conexoes,TIGRE
cap roscavel pvc tigre,16.9,conexoes,TIGRE
luva esgoto pvc correr serie reforcada tigre,99.9,conexoes,TIGRE
luva de correr roscavel pvc polegadas tigreluva de correr roscavel pvc polegadas tigre,59.9,conexoes,TIGRE
joelho roscavel pvc g bucha latao tigre,29.9,conexoes,TIGRE
joelho reducao pvc g soldavel tigre,6.89,conexoes,TIGRE
te esgoto pvc tigre,49.9,conexoes,TIGRE
juncao esgoto pvc invertida tigre,20.39,conexoes,TIGRE
luva de esgoto de correr pvc serie r tigre,32.9,conexoes,TIGRE
adaptador pvc saida para bacia sanitaria tigre,63.9,conexoes,TIGRE
joelho roscavel pvc g tigre,41.9,conexoes,TIGRE
adaptador rosavel com anel para caixa d agua polegadas tigre,124.9,conexoes,TIGRE
luva de correr roscavel pvc polegadas tigre,53.9,conexoes,TIGRE
cruzeta soldavel em pvc tigre,36.59,conexoes,TIGRE
curva soldavel pvc graus tigre,19.49,conexoes,TIGRE
adaptador roscavel pvc caixa d agua anel tigre,39.9,conexoes,TIGRE
adaptador roscavel com anel para caixa d agua polegadas tigre,99.9,conexoes,TIGRE
